route	content_elements	numeric_elements	charts	completeness	full_text_chars
home	50	27	0	partial	796
signal	97	42	0	partial	1153
breadth	32	15	2	loaded	558
sentiment	58	20	1	loaded	1175
briefing	290	132	0	loaded	7638
market-news	113	47	0	loaded	1519
technical	60	24	0	partial	727
screener	198	121	0	loaded	1846
ticker	59	5	0	partial	580
portfolio	34	11	0	loaded	358
themes	36	15	0	partial	393
theme-detail	36	15	0	partial	393
macro	64	32	1	loaded	964
fxbond	76	41	2	loaded	1162
fundamental	65	7	2	loaded	622
options	14	2	0	loaded	338
kr-home	193	63	0	loaded	1040
kr-supply	50	8	0	loaded	733
kr-themes	108	46	0	loaded	1392
kr-macro	230	108	0	loaded	1162
kr-technical	82	20	1	partial	1142
guide	172	19	0	loaded	261
